Title,Date,Link
Are Bean Counters to Blame?,"July 1, 2008",https://www.nytimes.com/2008/07/01/business/01sorkin.html?searchResultPosition=1
Some blame the bean counters for finance industry woes,"July 1, 2008",https://www.nytimes.com/2008/07/01/business/worldbusiness/01iht-sorkin.1.14122876.html?searchResultPosition=2
Overhaul of UBS board fails to calm investors,"July 1, 2008",https://www.nytimes.com/2008/07/01/business/worldbusiness/01iht-ubs.4.14139353.html?searchResultPosition=3
Did an Accounting Rule Fuel a Financial Crisis?,"July 1, 2008",https://www.nytimes.comhttps://dealbook.nytimes.com/2008/07/01/blaming-the-bean-counters/?searchResultPosition=4
Judge Clears U.S. Request for UBS Clients’ Names,"July 2, 2008",https://www.nytimes.com/2008/07/02/business/worldbusiness/02ubs.html?searchResultPosition=5
Judge clears U.S. request for UBS clients' names,"July 2, 2008",https://www.nytimes.com/2008/07/02/business/worldbusiness/02iht-02ubs.14155513.html?searchResultPosition=6
UBS and Deutsche Bank say they do not need extra cash to cope with global crisis,"July 2, 2008",https://www.nytimes.com/2008/07/02/business/worldbusiness/02iht-deutsche.4.14178222.html?searchResultPosition=7
Europeans concerned that U.S. banking problems may spread,"July 3, 2008",https://www.nytimes.com/2008/07/03/business/worldbusiness/03iht-poll.html?searchResultPosition=8
Fed and S.E.C. agree to information pact to help avoid crisis,"July 7, 2008",https://www.nytimes.com/2008/07/07/business/worldbusiness/07iht-7regs.14301066.html?searchResultPosition=9
Loan Pains Turned Site Into a Hit,"July 8, 2008",https://www.nytimes.com/2008/07/08/business/08implode.html?searchResultPosition=10
Implode-O-Meter measures lenders' troubles,"July 8, 2008",https://www.nytimes.com/2008/07/08/business/worldbusiness/08iht-lend.4.14335088.html?searchResultPosition=11
Mizuho Financial strengthening link with Merrill Lynch,"July 8, 2008",https://www.nytimes.com/2008/07/08/business/worldbusiness/08iht-mizuho.1.14323388.html?searchResultPosition=12
Rising Sun Brings New Dawn for Deals,"July 8, 2008",https://www.nytimes.comhttps://dealbook.nytimes.com/2008/07/08/rising-sun-brings-new-dawn-for-deals/?searchResultPosition=13
Fed to Clamp Down on Subprime,"July 8, 2008",https://www.nytimes.comhttps://dealbook.nytimes.com/2008/07/08/fed-to-clamp-down-on-subprime-keep-discount-lending/?searchResultPosition=14
S.E.C. Criticizes Ratings Agencies’ Conflicts of Interest,"July 8, 2008",https://www.nytimes.comhttps://dealbook.nytimes.com/2008/07/08/sec-criticizes-ratings-agencies-conflicts-of-interest/?searchResultPosition=15
Mortgage Lender Faces Rush to Withdraw,"July 9, 2008",https://www.nytimes.com/2008/07/09/business/09lend.html?searchResultPosition=16
Indian bank Icici says it is considering acquisitions abroad,"July 9, 2008",https://www.nytimes.com/2008/07/09/business/worldbusiness/09iht-icici.4.14369324.html?searchResultPosition=17
Hedge Fund Manager Describes Rock Bottom,"July 10, 2008",https://www.nytimes.com/2008/07/10/business/10fund.html?searchResultPosition=18
Indian Bank Says It’s Time to Take On Acquisitions,"July 10, 2008",https://www.nytimes.com/2008/07/10/business/worldbusiness/10rupee.html?searchResultPosition=19
Fortis chief's job on the line as board meets,"July 10, 2008",https://www.nytimes.com/2008/07/10/business/worldbusiness/10iht-fortis.4.14402974.html?searchResultPosition=20
IASB chief cool to overhaul of fair-value rule,"July 10, 2008",https://www.nytimes.com/2008/07/10/business/worldbusiness/10iht-rule.4.14401544.html?searchResultPosition=21
Analyst thinks bottom may be close,"July 10, 2008",https://www.nytimes.com/2008/07/10/business/worldbusiness/10iht-10bottom.14399806.html?searchResultPosition=22
Hedge fund manager describes rock bottom,"July 10, 2008",https://www.nytimes.com/2008/07/10/business/worldbusiness/10iht-10fund.14378752.html?searchResultPosition=23
Citigroup selling German banking unit to Crédit Mutuel,"July 11, 2008",https://www.nytimes.com/2008/07/11/business/worldbusiness/11iht-citi.3.14432550.html?searchResultPosition=24
Shares of Crédit Agricole plunge on report CEO may quit,"July 11, 2008",https://www.nytimes.com/2008/07/11/business/worldbusiness/11iht-11credit.14421612.html?searchResultPosition=25
Citigroup to Sell Unit in Germany,"July 12, 2008",https://www.nytimes.com/2008/07/12/business/worldbusiness/12citi.html?searchResultPosition=26
Regulators Seize Mortgage Lender,"July 12, 2008",https://www.nytimes.com/2008/07/12/business/12indymac.html?searchResultPosition=27
Sleepless and Worried in My House,"July 12, 2008",https://www.nytimes.com/2008/07/12/business/12cost.html?searchResultPosition=28
"Protected by Washington, Companies Ballooned","July 13, 2008",https://www.nytimes.com/2008/07/13/business/13lend.html?searchResultPosition=29
The Fannie and Freddie Fallout,"July 13, 2008",https://www.nytimes.com/2008/07/13/business/13gret.html?searchResultPosition=30
Silence of the Lenders: Is Anyone Listening?,"July 13, 2008",https://www.nytimes.com/2008/07/13/business/13mail.html?searchResultPosition=31
The mortgage lender illusion,"July 13, 2008",https://www.nytimes.com/2008/07/13/business/worldbusiness/13iht-morg14.1.14447876.html?searchResultPosition=32
The silence of the lenders,"July 13, 2008",https://www.nytimes.com/2008/07/13/business/worldbusiness/13iht-13mail.14446534.html?searchResultPosition=33
IndyMac one of the largest bank failures in U.S. history,"July 13, 2008",https://www.nytimes.com/2008/07/13/business/worldbusiness/13iht-indy.4.14456887.html?searchResultPosition=34
Bernanke faces a tough time before Congress,"July 13, 2008",https://www.nytimes.com/2008/07/13/business/worldbusiness/13iht-econ14.1.14447625.html?searchResultPosition=35
"Protected by Washington, Fannie and Freddie grew","July 13, 2008",https://www.nytimes.com/2008/07/13/business/worldbusiness/13iht-13lend.14446539.html?searchResultPosition=36
