Title,Date,Sentiment,Confidence
The Welcome Mat Is Out...,"Feb. 18, 2006",neutral,0.8307953476905823
Take Comfort in Mixed Signals,"Nov. 26, 2006",neutral,0.567242443561554
Subprime Loans Going From Boon to Housing Bane,"Dec. 6, 2006",neutral,0.7462848424911499
Study Predicts Foreclosure for 1 in 5 Subprime Loans,"Dec. 20, 2006",neutral,0.7387171387672424
Tremors at the Door for Subprime Mortgage Lenders,"Jan. 26, 2007",neutral,0.6273385882377625
Rising default rates hitting subprime mortgage industry hard - Business - International Herald Tribune,"Feb. 22, 2007",negative,0.5913045406341553
Home Lenders Hit by Higher Default Rates,"Feb. 22, 2007",negative,0.7015670537948608
Freddie Mac Toughens Policy on Risky Mortgages,"Feb. 27, 2007",neutral,0.5003008246421814
Subprime Mortgages May Still Haunt the Street,"March 1, 2007",neutral,0.6474134922027588
Mortgages May Be Messier Than You Think,"March 4, 2007",neutral,0.6008753180503845
"Mortgage Crisis Spirals, and Casualties Mount","March 5, 2007",neutral,0.47484296560287476
"The home mortgage crisis spirals, taking a toll in the U.S.","March 5, 2007",neutral,0.5072993636131287
"Investors Get a Break, but Some Lenders Absorb Blows","March 10, 2007",neutral,0.5227305293083191
Crisis Looms in Market for Mortgages,"March 11, 2007",neutral,0.6874015927314758
"This Time, the Turbulence May Last Awhile","March 11, 2007",neutral,0.7713683843612671
Lender Faces Credit Crisis With Banks,"March 13, 2007",neutral,0.5440759658813477
Mortgage lender in need of loan,"March 13, 2007",neutral,0.6450988054275513
Loan defaults add to meltdown for U.S. mortgage lenders,"March 13, 2007",negative,0.6678787469863892
Bad Loans Put Wall St. in a Swoon,"March 14, 2007",negative,0.509014904499054
Asia and Europe Stocks Follow Wall Street,"March 14, 2007",positive,0.5924288630485535
Fears over loose lending jolt global markets,"March 14, 2007",negative,0.45172128081321716
Stocks in Asia and Europe drop after Wall St. losses,"March 14, 2007",negative,0.7386682629585266
Fears over U.S. lending jolt global markets,"March 14, 2007",negative,0.49839577078819275
Wall Street Rebounds After Asian Stocks Plunge,"March 15, 2007",negative,0.5664598941802979
Sale of H&R Block Loan Division May Experience Turbulence,"March 15, 2007",neutral,0.6717255115509033
